Тема,label
скрипт импорта onComplete,10
Повторяется проблема описанная в INC0004247 на новой версии,10
Ошибка на форме реквеста на home,6
"Неверные лейблы полей, при просмотре своих заявок на портале.",8
Не работают клиентские скрипты на портале для вьюхи SP View Only.,5
"На портале при переходе в категорию запросов, стрелка обратно не работает.",5
В Workflow нельзя в условии сделать множественный выбор,10
проверке работоспособности интеграции,10
"инстанс не работает, 500 ошибка",5
"Невозможно создать запрос на улучшение, см. скриншот",10
Поля формы подачи запроса на доработку PIR на портале home недоступны для редактирования под пользователем без ролей,6
"При обращении к  API SimpleSearch выходит ошибка, см. скриншот.",1
🔥 503 SERVICE UNAVAILABLE,4
🔥 503 SERVICE UNAVAILABLE,4
Коробочный механизм расчета SLA содержит ошибку,1
дефект при заведении новой сделки из связанного списка,11
"Не работает ui action
ошибка следующего характера:
V8Js::compileString():1: Error: Property `itsm_incident.status` not exist!",5
Экспорт в xls таблицы с dotwalking колонками ,10
UI Action,10
Высота текстовых полей с заполненным значением по умолчанию?,8
Замедления в отображении элементов интерфейса системы,10
Проблема с добавлениями вложений в sys_email,10
Изменение интерфейса на проде,10
"Опять вылезла ошибка, связанная с невозможностью пересоздать поле с предыдущим name",8
Индикациии продолжают измеряться после деактивации  связанного Индикатора,10
Ошибка компиляции скрипта,1
В логах ошибка БД,1
Баг в Articles в поле KB Category.,8
Зависла очередь на экземпляре,10
Появляется ошибка при сохранении запросов.,1
Некорректно работает автозаполнение поля Исполнитель,5
Не корректно работает тестовый стенд,5
Ответ пользователя не меняет статус заявки с Information Needed на Assigned,10
Не доступен стенд,10
При нажатии на лупу рядом с полем Список отслеживающих (followers list) не открывается окно для выбора значений,11
При переключении между статьями в Базе знаний не обновляется Тема,10
Падение контейнеров в прод среде,10
503 Service Unavailable,4
Некорректно отображается title в incidents и request,10
Отсутствует валидация для текстовых полей по количеству ввода максимально допустимых символов на стороне клиента.,8
"Спам в заявках "" Необходима дополнительная информация""",10
Инстанс недоступен 503 ошибка,1
не показывает дату в тйамстампе,10
Доступ с тестовому стенду,3
Не отрабатывает функция rollback,10
"Если домашняя страница состоит из двух контейнеров, то на дочерние страницы с первого раза не попасть (например в профиль сотрудника). Сначала отбражается Something wrong (в консоли TypeError: Cannot read properties of undefined (reading 'getBackgroundImage')), при обновлении страницы, открывается корректно.",10
Не могу установить логотип для агентского интерфейса,10
IP-адрес ,10
Не все заявки отображаются в виде MY COMPANY TICKETS,10
Проблема со шрифтом на демостенде.,10
Уведомления коллерам  при открытии инц и реквест тасков,10
Рассинхронизация SLA ,10
Долго пробрасывается срок по SLA,10
Медленное открытие каталога услуг,10
Ошибка отображения логотипа на портале специалиста,1
test,10
Некорректное отображение категорий на портале,10
Копятся ошибки,1
"Не работает почта, надо проверить возможность коннекта",5
Пропадает часть статьи при написании/редактировании.,10
Проблема с отображением display_name,10
В бизнес процессе не работает проверка значения у атрибута связанного объекта,10
Сбрасывается выбранный local pack.,10
Система хранит пароли в открытом виде в ENV,10
"Не заполняются поля Resolved at, Closed at, Resolved by и Closed by",8
Выполнение клиентских скриптов на портале,10
Нет перевода в согласованиях,10
Нечитаемые KB при использовании поиска,10
"Невозможно изменить статус на какой-либо, кроме assigned",10
Не отображается содержимое шапки,10
Ошибка при попытке применить локальный пакет,10
Пропал ssh доступ к /stage001-ponosov.dev.simpleone.ru,3
remform конфликт форм если на странице больше одной,6
Некорректная работа скрипта со значением поля = 0,0
Проблема с демо стендом,10
Удаление дефолтных локальных пакетов после удаления аппликейшна,10
Scripted REST API. Не работает с Content Type отличным от application/json,5
Поиск на портале некорректно работает. Срочно. ,5
Некорректный деплой dev серверов (не создается база при деплое),10
Письмо после сбоя не отправилось повторно из-за излишней валидации из коробки для поля sys_email.body_text,8
Не корректная работа RabbitMQ в кластере S1,0
"При установке ограничения на количество символов в текстовых полях система позволяет внести большее значение и предупреждает уже только после сабмита формы, что заставляет пользователя вести двойную работу и самостоятельно отсчитывать нужное количество символов",6
Некорректная работа с локальными пакетами и приложениями,0
Не отправляются письма ,10
Не работает multipart form data в REST запросах,5
Дефект в механизме индикаторов,10
Бизнес-правила с методом setAbortaAction(true),10
"В результатах поиска на портале в наменовании услуги появляются теги, см. скриншоты",10
Отложенные уведомления на портале home.simpleone.ru,10
"Некорректное отображение опций выбора. Отображается value, вместо display_value.",10
Нет возможности изменить или удалить опцию для услуги,10
Нет возможности редактировать переопределение поля,8
Не корректная работа асинхронных бизнес правил,0
Ошибка отправки уведомлений по SMTP,1
Срок по SLA пробрасывается со значительной задержкой,10
Службой ИБ Банка выполнено сканирование системы на наличие уязвимостей. ,10
Создание запроса через обращения с помощью модели ,10
Отображение поля описание в виджете ReadOnlyForm,8
Некорректное оповещение с партнёрского портала,10
При клонировании БД потеряли S3,10
Нет подключения к LDAP.,10
Отсутствует перевод сообщения при добавлении/исключении себя из списка отслеживающих,11
"При добавлении большого комментария в активити, возникает ошибка (+ нет локализации)",1
нет возможности редактировать acl на удаление вложений,10
Уникальность поля email таблицы user/employee,8
Некорректная работа REST API,0
Разделы в русской документации отображаются на англ.,10
"Не работает узел ""If condition"" в редакторе процессов. неверно обрабатывает результат скрипта.",5
Отсутствует перевод сообщений о превышении размера файла и вложении файла запрещенного типа.,10
sd-test.ru не доступен из локальной сети Банка.,10
Не работают переводы,5
Нет возможности изменить страницу (см. скриншот) в соответствии с требованиями заказчика.,10
Любой исполнитель по любой задаче на портале не может открыть задачу,10
Параметр sysparm_exclude_reference_link не работает для POST запросов,5
Некорректная работа импортированного рабочего процесса,0
Исключение объектов из индекса по условию,10
ACL не отрабатывают на отчетах,10
Изменение отображения имени в инцидентах на поле Name,8
Автоответ от пользователей переоткрывает закрытую заявку,10
Икселерейт - импорт истории сообщений в S1,10
Ошибка 504 при загрузке файлов,1
Неправильная работа ACL при регистрации сделки на Home,0
Прошу оказать помощь в расследовании появления данных сообщений в логах,10
"Фильтр на поле, с учетом данных другого поля в клиентских скриптах модели.",8
"Конфликт номеров тикетов при создании 
Error:  The ""Number"" [number] field with value ""INCхххххх"" already exists",10
Консультация по построению фильтров с использованием rem-полей ,8
Долгая работа глобального поиска.,0
Не заполняется атрибут SLA нарушен в Инциденте.,10
Необходимо отображать имя выбранного вида в заголовке списка.,11
Не работает инстанс. Ошибка 500,5
Не могу зарегистрировать сделку - Тиккурила,10
Нет обновляется отчёт при смене группировки,10
"Икселерейт - индикация не отмечается ""нарушенной"" после достижения срока",9
"Слетает значение поля ""Отображаемое поле"" у таблицы Конфигурационная единица",8
Опять не работает addOption в REM,5
Нужна помощь в настройке пользовательского критерия,10
SLA,10
🔥 500 INTERNAL SERVER ERROR,10
"Ошибки в режиме ""Просмотра отчета""",1
Не отображаются значения полей типа Field Name на листовом представлении (List Layout),8
Деградация производительности,10
Невозможно выбрать экземпляр система при регистрации обращений.,10
Не отображается Change в поле Parent Change Task,8
Логика пересчета индикаций,9
Работа приложения Outlook на Андроиде.,0
"Отсутствует блок меню ""Бизнес приложения"" на портале home",10
LDAP авторизация S1 через LDAP каталоги отличные от MS Active Directory,10
"При закрытии и завершении обращения через кастомную кнопку ошибка:

[{""property"":""sys_updated_at"",""errorMessage"":""The \""Updated at\"" [sys_updated_at] field is read-only.""}]",1
"Скрипт на REST выполняется не последовательно, а одновременно.",10
Ошибка при создании КЕ c использованием класса\модели,1
Сбросить пароль на home-dev и home-test,10
"Коллеги, привет.

Недоступен демо-стенд (см. скриншот). Помогите срочно пож, показ в 12:00 на этом стенде. Спасибо.",10
"После обновления приложения до последжней версии на портале стли появляться услуги, которые не должны (где снят признак - доступно для использования)",7
Attachment Parser,10
"На тестовой, dev, и продуктивной среде после обновления не видна версия приложения.",7
Оповещение о закрытии,10
Обновление для таблиц задач,7
Не решено обращение INC0004609,10
Скрипт перестал исполняться,10
Работа обработчика почты,0
test,10
Работа Telegram бота,0
Добавление символов в обращение,10
Не отрабатывает стандартная нотификация при смене статуса ,10
Ошибка при переводе статуса Service в Active,1
Ограничение на размер фалов при отдаче по REST,10
Your request was made with invalid credentials.,10
"В индикации при просрочке не устанавливается флаг ""Нарушен""",9
Не проходит авторизация на ADFS,10
Подтормаживают test и dev инстансы алросы,10
s_form.refreshUiActions();  -не работает,5
Ошибки в работе WorkFlow после работ 29.06,0
Не работает корректно нотификация функции follow в инцидентах.,5
продолжая историю INC0004540,10
Проверка корректности работы системы,0
Обработчик LDAP не обрабатывает очередь ,10
Заказчик жалуется на 504 ошибку,1
Специалисты 1-ой линии поддержки жалуются на зависания и медленную работу интерфейса при любых действиях. На создание инцидентов уходит (5 - 9 минут).,0
Постоянно зависает script log,10
Сбой почты INC0004617,10
Критический инцидент. Почта,10
Метод getChanges() у класса s_form не регистрирует изменение формы с первого раза,6
"Не отрабатывает приостановка SLA, несмотря на условие. ",10
Брендирование интерфейса,10
Attachment 165674888591602770 content parsing failed.,10
Не скачивается вложение. ,10
Реиндексация записей для глобального поиска,10
"clearValue очищает значение, но не снимает флаг заполнения атрибута с типом choice",10
При выборе Caller указана не правильная таблица,10
Неправильные ссылки в notifications,0
Неправильная ссылка в notifications,0
СРОЧНО!!! Проблема с загрузкой данных,10
"Ссылка на фидбек  которая отправляется пользователю по завершению тикета до сих поро ведёт на старую ссылку PwC(https://pwc.simpleone.ru), а должно на Tedo.",0
"При имперсонации под другим пользователем, часть кнопок становится не видна, появляются после перезагрузки страницы",10
Пропало брендирование,10
Икселерейт - ошибка wrong password reset token,1
"Икселерейт - сбой при отправке сообщений ""новый пароль""",10
проблема с отправкой уведомлений,10
Не уходят письма (отправляется одно из 4х),10
Не отправляется почта на внешние адреса,10
"Модели, добавленные на стенд через перенос пакетов, не индексируются и недоступны для поиска",10
Наблюдается задержка в получении писем с ящика. Пример во вложении. Письмо в системе появилось только через 40 минут.,10
Икселерейт - проблема подключения входящей почты (IMAP),10
Ошибка  A non-numeric value encountered,1
Иногда не прогружается suggestions в refernce полях. Пример во вложении,8
Просьба оказать помощь в обновлении просроченного сертификата,7
Просочился сертификат просьба оказать помощь в обновлении,7
Не работает метод matchesCondition как ожидается. Помогите разобраться и найти решение.,5
remform,10
Невозможно подключиться к почтовому серверу Outlook.com,10
Клиентский скрипт с типом при изменении отрабатывает при открытии вкладки.,10
Не локализовано сообщение о превышении max_file_size_upload,10
"Просьба сбросить пароль для Home портала Гумерову Ильнуру. Старый пароль, высланный по почте ранее теперь не подходит.",10
Где формируется ссылка на смену пароля,10
Не правильно выгружает в Excel,10
"Индикация не встает на паузу, хотя попадает под условие",9
Работа модального окна.,0
"Надпись кнопки ""Подтвердить"" в виджете ITSM Task Assessment",10
ширина столбца в таблицах,10
"Возникает меню и перекрывает форму, если предыдущий имперсонизированный пользователь имеет закрепленное меню, а другой нет",6
"null в хлебных крошках и столбце, откуда удаляли значение (списки)",11
Некорректно работает поиск на портале самообслуживания.,5
"На тестовом стенде время на сервере отличается от реального, отсает примерно на 3 минуты",10
"Некорректно работает виджет ""Календарь изменений""",5
Не корректная работа Business rule Notification: Added only additional comment [Agent] [Caller],0
Не останавливаются индикации по SLM,9
Ссылочный ограничитель на REM-поля,8
При использовании коробочного виджета breadcrumbs на кастомном портале страница падает в ошибку 404.,1
"clearValue очищает значение, но не снимает флаг заполнения атрибута с типом choice",10
"При использовании в атрибутах модели запроса с типом Choice одинакового имени в разных моделях, addOptions работает некорректно, подтягивает значение из атрибута другой модели.",10
"Невозможность создать списочный отчёт из-за недоступности рефференс-поля UI List для пользователей с любыми ролям, кроме админ",8
Принудительная фильтрация данных,10
Отсутствует кнопка save в редакторе отчета,10
УЗ на портале https://home.simpleone.ru/ssp,10
Перенос УЗ из таблицы USER в EMPLOYEE,10
Настройка SSO,10
Игнорируются обязательные REM-атрибуты.,10
Ошибка 503 при попытке обратиться к тестовому окружению,1
Страница инцидентов перестала работать,5
Некорректно работает поиск через меню Search 2,5
Не работает отправка почты,5
Некорректная работа писем с text body.,0
Ошибка QuitaExceedError в KB.,1
This site can’t be reached,10
Queue Consumer,10
Странный поиск пользователя для имперсонирования ,10
Could not save the event,10
"SQLSTATE[22001]: String data, right truncated: 7 ERROR:  value too long for type character varying(4000)",10
Зависает создание задач,10
rest запрос падает с ошибкой 500,1
Некорректно работает поиск через меню Search ,5
Проблема с расчетом параметра Паузы в Индикации,9
Не создаются заявки из писем,10
Ингосстрах. Нагрузочное тестирование.,10
Недоступность ITSM (503 Service Unavailable),4
Не корректное отображение кнопок в письме о завершении работ,0
Модуль  SLM перерасчет сроков по SLA,10
Не отрабатывает срипт перехода по статусам для Задачи проблемы,10
Добавление наблюдателей в follow list,10
"Необходимо иметь возможность добавлять вложения к письмам, в т.ч с plain text содержимым.",10
изменение внутренней ссылки на внешюю при входе пользователя с портала,10
Не работает планировщик.,5
Ошибка при регистрации запросов \ инцидентов через портал самообслуживания.,1
Включить редактирование собственных комментариев в Notes,10
Ограничитель ссылок на листе,0
заменить в URL ID на номер тикета.,10
Несколько пунктов в меню с разными параметрами,10
Не корректное время запуска индикации,9
Ошибка в переходе в Каталоге Услуг,10
Некорректный заголовок заявок после перехода по хлебным крошкам,10
Успешное создание заявки с пробелом в обязательном для заполнения текстовом поле,8
Проблема с регистрацией новых пользователей в телегоботе,10
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO PROD,2
Не работает прод-инстанс.,5
Снова не пришёл пароль после сброса состояния БД,10
Создание дополнительной учётной записи ,10
500 при работе с Rest API,0
На портале не отображается логотип и пункты верхнего меню,10
Агенты с первой линии фиксируют зависания на проде при работе с обращениями. ,0
Проблемы с производительностью экземпляра home.simpleone.ru. Неисправность наблюдалась с 10 до 11:00 сегодня.,10
"Обрезаются скриншоты, взятые из письма в электронной почте и добавленные к заявке на портале.",10
Не регистрируются обращения (inq) по письмам с ящика noreply@alfaleasing.ru,10
🔥 500 INTERNAL SERVER ERROR,10
🔥 500 INTERNAL SERVER ERROR,10
🔥 500 INTERNAL SERVER ERROR,10
Не работает почта на dev.so.soc.tech,5
"Если сотрудников много в системе (у нас примерно 4700), то при выборе сотрдуника (не выбирая предварительно группу назначения) в любом объекта выходит ошибка.",10
Почта,10
Не видна ветка из LDAP.,10
Удаление событий в очереди,10
Не уменьшается очередь,10
Не приходят письма на инстанс,10
Не пришли креды после создания инстанса,10
Проблема с порталом,10
Мобильное приложение для android и ios,10
"События обрабатываются очень медленно, или не обрабатываются вовсе",10
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443,12
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443,12
🔥 503 SERVICE UNAVAILABLE,4
🔥 503 SERVICE UNAVAILABLE,4
Непроизвольное переключение текущего локального пакета.,10
"Скрипты по расписанию не учитывают приложение пользователя, от имени которого исполняются",10
"Нотификация при регистрации инцидента, не отправляется и приобретает статус Ignored",10
В списке возможных сделок некорректно отображаются табличные данные,11
Импорт excel,10
Не регистрируются обращения (inquiry) при поступлении писем на электронную почту,10
Очень медленно работает продукционное окружение.,5
🔥 500 INTERNAL SERVER ERROR,10
Некорректная работа фильтра,0
Не отрабатывает блок if со скриптом в wf.,10
Завис трансформ при импорте из AD,10
"Не переходит по страницам, пытаюсь выбрать страницу 3, после секундной задержки возвращается на 2",10
Нет возможности активировать Record Deletion Logging для таблиц sys_user_has_role и sys_user_group,10
Долгое появление категории в каталоге услуг sc (см. вложения),10
Не работает прод стенд,5
"Долго создаются индикации, прошу добавить воркеров",9
Не удаляются записи из таблицы сотрудников,10
Не работает интеграция с системой Mattermost (аналог Slack).,5
Частично недоступен экземпляр esm.alfaleasing.ru из подсети 83.242.107/24,10
Проблема с работой кнопки Edit в связанных списках REM сущностей,11
Не работает замена логотипа в интерфейсе специалиста.,5
"Нет возможности изменить наименование (translated text). Пишет что изменено, а по факту не изменяется.",10
https://servicedesk.simpleone.ru/ выдает 503 ошибку,1
Опечатка в переводе,10
Не обновляется интерфейс системы,10
Информация по задачам Customer Сare рассылается в копию всем сотрудникам.,10
Дефекс верстки карточки услуги (модели запроса) в каталоге на портале конечного пользователя. ,10
Некорректная обработка файла загрузки с неправильным типом полей,8
Ошибка при поиске на портале,1
ВАЖНО! В прод системе не работает почта,5
Медленная работа стенда и частые ошибки 502,0
Необходимость доступа в интернет в закрытом контуре (Уралсиб),3
Rem атрибуты c типом сhoiсe,10
Пусто в поле heders во входящих и исходящих письмах.,8
Ошибка при загрузке данных на инстанс.,1
Нагрузочное тестирование,10
Размерность поля Description,8
"На портале в каталоге услуг не работает стрелка ""Назад"" (не происходит переход на предыдущий уровень каталога)",10
При добавлении длинного файла вся форма едет,6
Client-side s_widget API bug. ,10
🔥 503 SERVICE UNAVAILABLE,4
🔥 503 SERVICE UNAVAILABLE,4
"Очень медленно отображается портал конечного пользователеля, в особенности каталог услуг. Отображение >3 сек.",10
Возможность изменения значений через список ,11
Прошу продлить время эксплуатации,10
Не локализованное сообщение при сбросе пароля Wrong password reset token,10
Некорректная работа getDisplayValue(),0
Не работает возврат на предыдущую страницу ,5
Не полное описание в разделе документации Record Extended Model,10
Невозможно установить порядок отображения атрибутов на REM форме,6
Автоматически формируемые письма для сброса пароля не отправляются. Почтовый аккаунт и системные свойства настроены корректно.,10
Для технической учетки guest используется реальный домен почтового адреса.,10
Сброс пароля пользователями.,10
Не корректно работает тип колонки(атрибут) Days of week. ,5
Невозможно скорректировать условия у выходов активности Switch,10
Бэкап,10
параметры авторизации на сервер DATABASE-01 DC-SO1-DB01,10
"В настройках пользовательских критериев галочка ""полное совпадение"" работает отлично от тестового стенда.",5
"В связанных записях отправленного оповещения по эл.почте, нет связанного правила обработчика",10
Ошибка при просмотре экземпляров системы,1
Не отображается в списке и на форме заполненное поле SLA.,6
Не работает группировка по полю статус на таблице itsm_change_request,8
Перестали корректно отображаться данные в списках,11
Некорректность данных отказоустойчивой конфигурации S1,10
Задание требований к паролю пользователя,10
Ошибка Uncauth TypeError: n is not a function,1
Обращения моей компании,10
Ошибки в консоли,1
Доступность продуктивного стенда ,10
🔥 502 BAD GATEWAY,10
🔥 503 SERVICE UNAVAILABLE,4
Невозможно скрыть меню раздела Отчеты,10
Не работает настройка таблиц на стенде заказчика,5
Некорректное отображение кнопок в верхней части формы,6
Не отработало  асинхронное бизнес-правило,10
Долгий отклик интерфейса,10
Отображение результатов поиска в SimpleOne,10
Инстанс снова упал (ошибка 500),1
Некорректно работает activity,5
Лежит инстанс,5
Не доступен инстанс,5
Обработка почты с задержкой 18 минут,10
Mian Log источник ACL Permissions,10
Некорректная работа виджета Attachment,0
Инстанс упал с 500 ошибкой,1
Не работает переадресация пользователя на страницу портала,5
Не отправляется почта.,10
"Не подгружается логотип, копятся ошибки",1
Некорректная обработка файла загрузки с неправильным типом полей,8
"Инстанс не получает письма, хотя коннект имеется",10
Ошибка RestFul,1
"При обновлении объекта скриптом из процесса, запись блокируется с ошибкой The ""Updated at"" [sys_updated_at] field is read-only.",7
"Нет возможности настроить ограничение на кнопку Save, которая сохраняет фильтр списка.",11
Для действия Subflow (графический редактор процессов) невозможно выбрать ни один активный процесс,10
Задержка при создании и изменении SLA,10
Не активны кнопки Обновить и Сохранить при создании отчёта. Странным образом отображается календарь.,10
Не работают миграции при обновлении инстанса на 1.12.4 с 1.12.1,5
Ошибка в  s_widget.addTemplate(),1
"Добрый день.
На инстансе не получается запустить телеграм-бот.

Бот выдает ошибку:
Номер не зарегистрирован в системе. Авторизуйтесь с другого номера или свяжитесь со службой поддержки servicedesk@simpleone.ru


Запись в таблице Employee с моим номером есть.

Бот создан, статус соединения  - Connected.

Критично до вторника. ",10
Error: Current record is not set,10
Постоянно слетает локальный пакет у пользователя,10
Не переносится Closure Notes из таска в корневое обращение в Requests,10
Не корректная работа портала Home,0
В какой-то момент перестало отображаться значение в поле SLA нарушено в отчете,8
Ошибка открытия Dashboard из меню,1
просьба обнулить пароли для стендов,10
Импорт json,10
Не устанавливается логотип на портале специалиста.,10
ERROR: invalid input syntax for type uuid,10
Ошибка 413 при импорте в JSON,1
"Прошу увеличить ресурсы на стенде. Сейчас идет демо на ИТ-полигоне, тормозит. Возможно, из-за интеграции. До конца недели.",10
"Нет картинок в отчетах, в редакторе ошибка",1
Не отрабатывает Filter Option Dynamic для REM атрибутов при регистрации с портала. ,10
Datetime simpletag,10
Истечение срока действия сертификата продуктового инстанса,5
Нет возможности импортировать всех пользователей из AD,10
Не удается загрузить данные при помощи быстрого импорта,10
"Не всегда корректно отображаются цвета для виджетов SLA. ""Кружки"" без цвета и 0%, несмотря на действующий расчет SLA.
Цвета подтягиваются уже после закрытия/завершения заявки. ",10
При выгрузке данных из системы с ролью отличной от админа в выгрузке теряется часть данных или не выгружается вообще.,10
Сбрасывается REM модель,10
"При заполнении обязательного поля пробелом, поле считается заполненным и проверка на отрабатывает",8
Проблема с загрузкой файлов большого размера,10
"Ошибка ""Поле """"Номер"" [number]"" должно быть уникальным."" при попытке создать с портала запрос или инцидент (из каталога услуг).",10
Проблема с расчетом параметра Паузы в Индикации,9
SLA incator,10
Script Include признак Disable ACL check,10
"Не работают виджеты в модальных формах (форма добавления записи, которая открывается по + рядом с полем)",6
При нажатии на лупу рядом с полем Список отслеживающих (followers list) не открывается окно для выбора значений.,11
При создании и изменении любой записи выходит тост с ошибкой,1
При создании записей в таблице itsm_request не происходит редирект на созданную запись,10
"Есть возможность искать объекты по полям, закрытыми для чтения через ACL",8
В таблицах не  отображаются рабочие записи/заметки,10
При выгрузке в эксель все ID округляются.,10
Поднять сервер,10
Кнопки edit отображаются там где не предполагается редактирование,10
"Для созданного запроса поле ""Пользователь"" скрыто на форме через клиентский скрипт, но при внесении изменений, к примеру просто текста в описании, и нажатия на кнопку «сохранить», страница обновляется и поле ""Пользователь"" доступно на форме.",6
Не завершаются некоторые индикации на инстансе у заказчика,9
Вложение при закрытии обращения,10
Не открывается форма учета трудозатрат,6
Округление секунд в отчёте типа Многоуровневая таблица и Тренды,10
Не хватает симплтэга для типа данных int,10
Не хватает симплтэга для типа данных Date,10
Не отображается ui.branding.logo,10
у вас проблемы с безопасностью,10
У пользователя без ролей существует возможность скачивать любые вложения,10
Ошибка 503,1
Недоступен экземпляр Минтруда,10
"Возникает ошибка при попытке скачать вложение из виджета вложений на форме таска через нажатие правой кнопкой мыши и выборе ""Скачать"" из контекстного меню. ",6
"Не работают отчёты типа ""Временные ряды""",5
Не удается обновить инциденты INC0017587 и INC0017588. Хотя поле краткое описание заполнено. ,8
не работают ITSM Event,5
Прошу продлить время эксплуатации,10
В отчётах не работает агрегация типа Сумма и Среднее для колонки типа Duration,5
Асинхронные бизнес-правила,10
Нет возможности выбирать ресурс на странице портала Начальная страница -> Каталог услуг -> Фасовочные весы -> Инцидент,10
при обновлении записей скриптом таблицы пользователей через некоторое время ошибка 504,7
"После обновления появилась возможность настраивать динамический срок у SLA, однако у существующих SLA эти поля недоступны для редактирования",7
После обновления на версию 1.12.3 в интерфейсе перестал отображаться логотип,7
Недоступен продуктивный экземпляр itella,10
Не пишутся логи запуска скриптов,10
"Не работает отображения картинки для визуализации списков.
Также нет возможность выбора только картинки, т.к. цвет обязательное поле",11
"В заявках инцидентах нет SLA  Время реакции, формируется только ИТ Инцидент.",10
В отчете по трудозатратам не выгружаются ссылочные поля (добавленные через дот-волкинг). ,8
Не отображаются комментарии и рабочие записи в activities.,10
Неверное отображение статусов в отчете (цифры вместо текста).,10
Клиентский скрипт OnChg запускается через раз,10
Отображение портала на мобильном устройстве,10
Отсутствует доступ к инструкции по первичной настройке SimpleOne,3
Не закрываются некоторые инциденты.,10
Не отменился SLA по условию.,10
Слетает выбранный конфигурационный пакет на дев стенде.,10
Нет доступа,3
Пользователи-агенты не должны видеть sys id в интерфейсе,10
Не отображается колонка ID при использовании listitems,10
При наличии обязательных REM-атрибутов у секции отсутствует индикатор обязательности,10
В Change на вкладке Related records нет ссылки на запись REQ,10
"При создании задачи, при редиректе в связанный ГО (инцидент) появляются ошибки, относящиеся к задаче. Проблема с доступностью объектов parent и current.",10
"Не отображается лого, проблема в браузерах хром, сафари, мозилла.",10
С dev инстансов пропала возможность подключения SSO и AD (LDAP),10
Просьба сбросить счетчик автоинкремента number для таблицы incident,10
Не удаётся настроить импорт LDAP,10
https://dev-itpark.simpleone.ru/ недоступен,10
Невозможно заполнить поле Solved by Changes в REQ,8
🔥 500 INTERNAL SERVER ERROR,10
🔥 500 INTERNAL SERVER ERROR,10
Округление секунд и некорректное отображение длительности в отчёте типа Многоуровневая таблица,10
постоянно падает с 503,10
Исчезло автоподставление префикса при создании полей в коробочных таблицах. ,8
Едет вёрстка,10
Нет возможности редактировать коробочные acl для таблиц user и employee.,10
Сброс configuration pack на дефотный после рестарта.,10
Экранирование спецсимволов в запросах,10
Невозможно взять getDisplayValue() от REM атрибута с типом Choice,10
Большое количество событий,10
Other=null(0%),10
Недоступен. 503 ошибка.,1
Удаление Import Set,10
"Медленная работа тестового инстанса, периодически ошибка 500",1
"Импорт, ошибка Failed to parse",1
Не работает клиентский скрипт модели в виджете,10
Дублируются индикации,9
В очередной раз 503,10
"В сообщении о согласовании не написано, что у согласования есть срок",10
Не срабатывают бизнес-правила или срабатывает их старые версии.,10
Не работает Switch в Workflow,5
Rest api,10
503 ошибка,1
Portal - не отображаются пиктограммы,10
НЕ открываются отчеты. ,10
"По всей видимости зависла очередь, в списке 3600 записей в статусе ""Ожидает"" ",11
Обращение к рем атрибутам в динамическом фильтре ,10
Не приходит входящая почта,10
Нет возможности активировать аудит для таблицы slm_timepoint_indication. Поле недоступно для редактирования.,8
Activity Feed скролл бары,10
Activity Feed,10
Прокрутка полей,8
Activity feed,10
Ошибка при редактировании макета формы,6
Home сделки,10
"Просьба применить обходное решение на хосте 
dc-simpleonet01 для увеличения количества запущенных buisness worker согласно количеству, указанному в настройках конфигурации хоста 
dc-simpleonet01. Экземпляры: 
dc-simpleonet01",10
"Просьба применить обходное решение на хосте 
dc-simpleonet02 для увеличения количества запущенных buisness worker согласно количеству, указанному в настройках конфигурации хоста 
dc-simpleonet02. Экземпляры: 
dc-simpleonet02",10
Не работает Business rule,5
"Не работает стандартная кнопка (UI-action) ""Инцидент"" на любых формах, кроме формы по умолчанию",6
"Наблюдаются проблемы при расчете SLA.  Условия на ""Паузу"" не всегда корректно отрабатывают.",10
После обновления съехали формы на клиентском портале (скрины во вложении),6
Проблемы с производительностью,10
Очередь sys_queue_message не успевает обрабатываться.,10
вход невозможен в SimpleOne,10
Письма за день повторно загружаются в систему,10
Просьба отключить контроль версий для таблицы c_cmdb_model,10
Неудается импортировать пакет. An internal server error occurred В логах  Allowed memory size of 367001600 bytes exhausted (tried to allocate 20480 bytes),10
Помощь с восстановление доступа к системе,3
Наблюдаются проблема с SLA. SLA подтягиваются к заявкам с задержкой около 3 часов. ,10
Фактические данные по отчёту типа гистограмма,10
Иконки для типов отчётов,10
🔥 500 CAN'T CONNECT TO DEV,2
Просьба удалить все данные в таблице c_cmdb_model,10
Не удалить атрибут из таблицы,10
Сброс пароля после регистрации пользователя,10
Simple tag <Form> и клиентские скрипты,10
Не открывается детализация по My Tasks на портале,10
503 Ошибка,1
"У пользователя с агентскими правами, есть возможность редактировать поля в таблицах.",8
"Сотрудник с ролью ITSM_Agent не может выбрать список при настройке отчета типа ""Список""",11
Продутив валится в 503 ошибку,1
Во всех инстансах Itella пропало дефолтное представление,5
"Нет возможности ограничить раздел меню ""Отчеты"" по роли. Все поля только для чтения.",8
"Зависание писем в статусе ""прикрепление""",10
Ошибка при настройке соотношения полей. ,8
Не присваивается логин пользователю при импорте сотрудников через LDAP.,10
Результаты поиска Full Text Search,10
Сброс пароля\восстановление пароля,10
